epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,213.361,1.00018,1.12339,0.01347,0.67756,0.61142,0.65372,0.42596,1.20959,1.45267,0.02827,0.00121591,0.00121591,0.00121591
43,218.184,1.00709,1.13754,0.01381,0.74019,0.50894,0.60683,0.36801,1.24112,1.59528,0.02861,0.00120491,0.00120491,0.00120491
44,223.071,1.00157,1.11075,0.01385,0.65296,0.63292,0.66374,0.4196,1.26015,1.39681,0.02978,0.00119391,0.00119391,0.00119391
45,228.016,1.015,1.07585,0.01491,0.59135,0.63133,0.60245,0.40422,1.16963,1.56625,0.02622,0.0011829,0.0011829,0.0011829
46,232.804,1.00228,1.11879,0.01348,0.58071,0.6332,0.60865,0.40731,1.18529,1.55695,0.02672,0.0011719,0.0011719,0.0011719
47,237.648,0.96839,1.06571,0.01321,0.69825,0.60509,0.64782,0.40838,1.17197,1.52414,0.02604,0.0011609,0.0011609,0.0011609
48,242.491,0.95922,1.04825,0.01315,0.76439,0.5679,0.68482,0.44423,1.17565,1.37577,0.02671,0.0011499,0.0011499,0.0011499
49,247.37,0.98232,1.03775,0.01288,0.64728,0.53592,0.61309,0.3934,1.2265,1.50362,0.02837,0.00113889,0.00113889,0.00113889
50,252.307,0.95688,1.0061,0.01278,0.7113,0.66221,0.68417,0.46595,1.15476,1.38312,0.02618,0.00112789,0.00112789,0.00112789
51,257.162,0.93499,1.00695,0.013,0.58603,0.60629,0.59432,0.39752,1.08533,1.63173,0.02388,0.00111689,0.00111689,0.00111689
52,261.968,0.93296,1.00973,0.01375,0.67871,0.60261,0.6445,0.43667,1.16419,1.37896,0.02684,0.00110589,0.00110589,0.00110589
53,266.805,0.9338,0.99116,0.01301,0.70614,0.57004,0.64395,0.44994,1.16801,1.34498,0.02662,0.00109489,0.00109489,0.00109489
54,271.637,0.93153,0.97121,0.0128,0.62373,0.6395,0.64451,0.45344,1.06458,1.44047,0.0229,0.00108388,0.00108388,0.00108388
55,276.508,0.90969,0.94406,0.01256,0.67524,0.56388,0.60148,0.38318,1.16244,1.59061,0.02651,0.00107288,0.00107288,0.00107288
56,281.354,0.93576,1.01275,0.01234,0.59597,0.6331,0.62386,0.41562,1.18213,1.51951,0.0274,0.00106188,0.00106188,0.00106188
57,286.061,0.90977,0.96564,0.01274,0.67215,0.63196,0.67156,0.45031,1.11553,1.41196,0.02473,0.00105088,0.00105088,0.00105088
58,290.883,0.90773,0.96972,0.01289,0.67028,0.59273,0.6206,0.40532,1.20792,1.62998,0.02734,0.00103987,0.00103987,0.00103987
59,295.738,0.92241,0.93805,0.01229,0.68266,0.63186,0.66004,0.4193,1.1422,1.55477,0.02543,0.00102887,0.00102887,0.00102887
60,300.445,0.92528,0.94839,0.01216,0.7125,0.61446,0.67646,0.45352,1.12713,1.37709,0.02516,0.00101787,0.00101787,0.00101787
