epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65278,0.92987,6.633,0.01028,0.00305,0.70979,0.04514,0.03159,0.58502,5.78935,0.00767,8.335e-05,8.335e-05,8.335e-05
2,8.71589,0.91302,6.51597,0.00962,0.00461,0.83217,0.32685,0.20903,0.66679,5.7573,0.00938,0.00018216,0.00018216,0.00018216
3,9.75008,0.82661,6.75475,0.01041,0.00509,0.88462,0.27396,0.20888,0.73617,5.7251,0.00989,0.000279649,0.000279649,0.000279649
4,10.7316,0.85503,6.02105,0.01004,0.0056,0.87762,0.23841,0.1539,0.75661,5.70896,0.01074,0.000375818,0.000375818,0.000375818
5,11.7173,1.02599,5.52786,0.01086,0.00554,0.83217,0.24323,0.16445,0.75059,5.6194,0.01176,0.000470667,0.000470667,0.000470667
6,12.6949,0.89294,5.67135,0.01047,0.00567,0.87762,0.24272,0.17739,0.83725,5.50632,0.01332,0.000564196,0.000564196,0.000564196
7,13.8493,0.95876,5.9592,0.01281,0.00508,0.83916,0.2722,0.18803,0.90852,5.37726,0.01567,0.000656405,0.000656405,0.000656405
8,14.9056,0.94604,5.2695,0.01224,0.00543,0.83916,0.28336,0.19108,0.9411,5.21617,0.01721,0.000747293,0.000747293,0.000747293
9,15.9297,0.9176,5.80434,0.0126,0.00602,0.87762,0.30306,0.21877,0.80263,5.10095,0.01255,0.000836861,0.000836861,0.000836861
10,16.9048,1.12201,5.77069,0.01237,0.24238,0.24788,0.2238,0.17082,0.88797,4.99561,0.01453,0.000925108,0.000925108,0.000925108
11,17.8656,0.97843,4.87137,0.0134,0.41307,0.16783,0.20969,0.16183,0.98228,4.94821,0.0167,0.00101204,0.00101204,0.00101204
12,18.8868,1.04716,4.623,0.01264,0.09498,0.4965,0.20012,0.15281,1.03264,4.92341,0.01764,0.00109764,0.00109764,0.00109764
13,19.8631,1.06306,4.34239,0.01263,0.00598,0.75524,0.22474,0.15761,0.97382,4.7957,0.01523,0.00118193,0.00118193,0.00118193
14,20.8521,1.02687,4.27316,0.01248,0.29917,0.4965,0.31267,0.21984,1.09493,4.68529,0.01685,0.0012649,0.0012649,0.0012649
15,21.8489,1.01186,5.08484,0.016,0.33404,0.24476,0.25625,0.16635,1.17292,4.60276,0.02027,0.00134654,0.00134654,0.00134654
16,23.0045,0.96934,3.98663,0.01179,0.53825,0.16084,0.36301,0.22128,1.19219,4.41159,0.01892,0.00142687,0.00142687,0.00142687
17,23.9738,1.0135,4.5679,0.01359,0.68619,0.27485,0.36504,0.23351,1.10332,4.24617,0.01902,0.00149096,0.00149096,0.00149096
18,24.9766,1.0944,3.90305,0.01296,0.50699,0.25554,0.3499,0.21043,1.19309,4.21979,0.02135,0.00147996,0.00147996,0.00147996
19,25.9532,1.09705,3.75993,0.01184,0.41009,0.17483,0.30618,0.19598,1.16941,4.1486,0.02009,0.00146896,0.00146896,0.00146896
