epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,26.959,1.14468,3.69677,0.01325,0.35696,0.2972,0.29291,0.17005,1.32553,3.94355,0.02204,0.00145796,0.00145796,0.00145796
21,27.9108,1.11297,3.70054,0.01466,0.36142,0.29021,0.3442,0.19,1.13312,3.98188,0.01821,0.00144696,0.00144696,0.00144696
22,28.953,1.04372,3.35011,0.01368,0.50505,0.23589,0.26566,0.14014,1.16357,4.25538,0.02136,0.00143595,0.00143595,0.00143595
23,29.9488,1.04309,3.19457,0.01127,0.36265,0.16783,0.20529,0.11945,1.27992,4.31566,0.02414,0.00142495,0.00142495,0.00142495
24,30.9515,1.08293,3.47217,0.01395,0.24087,0.25874,0.16953,0.0817,1.44792,4.39019,0.02501,0.00141395,0.00141395,0.00141395
25,31.9116,1.07488,3.61908,0.01633,0.30367,0.29021,0.21241,0.11104,1.25562,4.23682,0.02222,0.00140295,0.00140295,0.00140295
26,33.0526,0.91918,2.80978,0.01035,0.46305,0.37413,0.32127,0.15414,1.22868,4.0085,0.02341,0.00139195,0.00139195,0.00139195
27,34.0126,1.03134,3.17989,0.01627,0.34259,0.32867,0.30841,0.15878,1.2852,3.91418,0.02572,0.00138094,0.00138094,0.00138094
28,34.9867,1.07599,2.9381,0.01162,0.28219,0.36713,0.24285,0.12513,1.48481,4.03434,0.0286,0.00136994,0.00136994,0.00136994
29,35.9484,1.09987,2.96365,0.01329,0.50841,0.33566,0.31644,0.15119,1.41117,3.91456,0.02848,0.00135894,0.00135894,0.00135894
30,36.9587,1.00419,2.73293,0.01283,0.50221,0.3306,0.33871,0.20458,1.38916,3.62069,0.0264,0.00134794,0.00134794,0.00134794
31,37.9142,1.07119,2.94358,0.01155,0.48736,0.40472,0.41215,0.19876,1.42431,3.53745,0.02611,0.00133693,0.00133693,0.00133693
32,38.8746,1.11425,2.45764,0.01275,0.43248,0.46503,0.35385,0.15993,1.39832,3.7473,0.02762,0.00132593,0.00132593,0.00132593
33,39.8007,1.10331,2.88362,0.01551,0.42169,0.33566,0.36391,0.14791,1.43537,3.66433,0.02821,0.00131493,0.00131493,0.00131493
34,40.9024,0.92371,2.27942,0.01137,0.39343,0.39265,0.39079,0.19805,1.29863,3.49329,0.02251,0.00130393,0.00130393,0.00130393
35,41.8612,0.94008,2.40876,0.0108,0.47903,0.38409,0.41136,0.22319,1.202,3.49699,0.0202,0.00129293,0.00129293,0.00129293
36,42.8401,1.01565,2.65753,0.01254,0.56359,0.34266,0.38889,0.22068,1.29132,3.32097,0.02525,0.00128192,0.00128192,0.00128192
37,43.7676,0.97568,2.3518,0.01244,0.7196,0.26573,0.3459,0.222,1.27996,3.27102,0.02387,0.00127092,0.00127092,0.00127092
38,44.7317,0.94434,2.42697,0.01252,0.58323,0.42657,0.44923,0.251,1.33849,3.15008,0.02444,0.00125992,0.00125992,0.00125992
39,45.6551,0.96269,2.12182,0.01211,0.80396,0.35677,0.42888,0.24489,1.37237,3.16725,0.0264,0.00124892,0.00124892,0.00124892
40,46.6019,1.01029,2.18139,0.01376,0.9026,0.26573,0.37547,0.20101,1.48168,3.06788,0.0294,0.00123791,0.00123791,0.00123791
41,47.5268,1.05035,2.05728,0.01309,0.30885,0.37516,0.34589,0.19211,1.50028,3.03894,0.02742,0.00122691,0.00122691,0.00122691
42,48.468,0.94,1.95564,0.01314,0.67722,0.3042,0.42505,0.23574,1.41521,2.80441,0.02624,0.00121591,0.00121591,0.00121591
43,49.5473,1.02119,1.98381,0.01167,0.53408,0.38112,0.40628,0.21831,1.38049,2.82139,0.02606,0.00120491,0.00120491,0.00120491
44,50.4787,1.03089,2.26376,0.01559,0.53818,0.44414,0.41184,0.21203,1.33919,2.89755,0.02387,0.00119391,0.00119391,0.00119391
45,51.39,0.98946,1.92889,0.01203,0.46396,0.39233,0.38684,0.22069,1.33073,2.85556,0.02457,0.0011829,0.0011829,0.0011829
46,52.3282,0.95003,1.80398,0.01177,0.62016,0.38112,0.41953,0.23449,1.40558,2.71129,0.02633,0.0011719,0.0011719,0.0011719
47,53.2574,0.96863,1.83776,0.01179,0.59067,0.38534,0.38477,0.22113,1.46764,2.73348,0.02623,0.0011609,0.0011609,0.0011609
48,54.197,0.87929,2.00955,0.01272,0.70555,0.32887,0.35829,0.25019,1.37333,2.83956,0.02445,0.0011499,0.0011499,0.0011499
49,55.1267,0.82085,1.52284,0.01034,0.67208,0.2854,0.30838,0.19482,1.3716,2.89079,0.02386,0.00113889,0.00113889,0.00113889
50,56.1175,0.87793,1.6506,0.01052,0.77668,0.2044,0.31545,0.17733,1.49654,2.71095,0.02626,0.00112789,0.00112789,0.00112789
51,57.3252,0.94321,1.63949,0.01185,0.31931,0.31337,0.26322,0.15081,1.38431,2.8856,0.02338,0.00111689,0.00111689,0.00111689
52,58.5322,0.9458,1.6749,0.01208,0.28361,0.38137,0.24741,0.13101,1.41822,2.96932,0.02603,0.00110589,0.00110589,0.00110589
53,59.5273,0.83664,1.5626,0.01097,0.41353,0.32596,0.2517,0.11353,1.39403,3.06864,0.02596,0.00109489,0.00109489,0.00109489
54,60.4933,0.97184,1.70416,0.01266,0.48468,0.36724,0.25888,0.11117,1.5624,3.07267,0.03088,0.00108388,0.00108388,0.00108388
55,61.4136,0.86589,1.7069,0.01185,0.3958,0.38112,0.25582,0.12637,1.5101,3.0777,0.02985,0.00107288,0.00107288,0.00107288
56,62.3581,0.9381,1.53256,0.00995,0.40555,0.33566,0.24639,0.174,1.34706,2.91826,0.02547,0.00106188,0.00106188,0.00106188
57,63.2735,0.937,1.4952,0.01312,0.34726,0.29624,0.2974,0.17711,1.35513,2.79241,0.02582,0.00105088,0.00105088,0.00105088
58,64.2536,0.94635,1.45016,0.01115,0.41305,0.32357,0.25374,0.15653,1.28481,2.77885,0.0234,0.00103987,0.00103987,0.00103987
59,65.2192,0.95616,1.49971,0.01078,0.49445,0.29701,0.22791,0.14307,1.28848,2.89698,0.02268,0.00102887,0.00102887,0.00102887
60,66.3207,0.84849,1.49681,0.0109,0.21781,0.29021,0.16483,0.10837,1.25136,3.09612,0.02398,0.00101787,0.00101787,0.00101787
61,67.3103,0.97248,1.29735,0.00979,0.206,0.29021,0.17218,0.11738,1.35478,2.89141,0.02589,0.00100687,0.00100687,0.00100687
62,68.3002,0.82527,1.18647,0.01039,0.40548,0.28322,0.26658,0.12991,1.37049,2.86233,0.02627,0.000995866,0.000995866,0.000995866
63,69.3235,0.9573,1.26026,0.01102,0.49208,0.31431,0.33234,0.16839,1.47397,2.80336,0.02891,0.000984864,0.000984864,0.000984864
64,70.4211,0.79988,1.31912,0.01047,0.86263,0.24476,0.32123,0.17563,1.37431,2.96438,0.02468,0.000973861,0.000973861,0.000973861
65,71.3665,0.78408,1.18499,0.01046,0.63488,0.27552,0.30336,0.18425,1.2594,3.18362,0.02204,0.000962859,0.000962859,0.000962859
66,72.298,0.95684,1.24881,0.01005,0.54207,0.36713,0.34548,0.2274,1.39763,2.77483,0.02617,0.000951857,0.000951857,0.000951857
67,73.4056,0.81388,1.15297,0.00929,0.63328,0.37413,0.35346,0.22692,1.29146,2.64378,0.0233,0.000940855,0.000940855,0.000940855
68,74.3545,0.83401,1.1418,0.00976,0.58135,0.41958,0.42664,0.25241,1.39879,2.37636,0.02526,0.000929853,0.000929853,0.000929853
69,75.2862,0.83189,1.18501,0.01048,0.74472,0.41958,0.44119,0.25936,1.3102,2.50758,0.02411,0.00091885,0.00091885,0.00091885
70,76.252,0.93286,1.33506,0.01267,0.87905,0.4162,0.46952,0.28639,1.42869,2.3583,0.0277,0.000907848,0.000907848,0.000907848
71,77.2073,0.92235,1.26746,0.01009,0.80906,0.37413,0.44351,0.2747,1.54366,2.19854,0.03005,0.000896846,0.000896846,0.000896846
72,78.1876,0.8301,1.13995,0.01205,0.59257,0.38112,0.38804,0.24348,1.44112,2.42638,0.02704,0.000885844,0.000885844,0.000885844
73,79.1532,0.79755,1.2068,0.00912,0.42438,0.40403,0.36067,0.22917,1.38992,2.46138,0.02552,0.000874842,0.000874842,0.000874842
74,80.1684,0.86304,1.09215,0.00926,0.59055,0.41354,0.44244,0.27344,1.3801,2.32314,0.0238,0.000863839,0.000863839,0.000863839
75,81.0812,0.7937,1.00186,0.00916,0.64792,0.4227,0.4608,0.29838,1.43531,2.23442,0.02646,0.000852837,0.000852837,0.000852837
76,82.1825,0.80791,1.03189,0.01044,0.3993,0.42657,0.4394,0.3041,1.42455,2.18255,0.02551,0.000841835,0.000841835,0.000841835
77,83.1144,0.835,1.18053,0.00831,0.47567,0.57189,0.47112,0.32496,1.39724,2.12678,0.02469,0.000830833,0.000830833,0.000830833
78,84.1292,0.7243,1.03726,0.00935,0.51792,0.48218,0.45519,0.30153,1.41535,2.19424,0.02448,0.000819831,0.000819831,0.000819831
79,85.0886,0.72429,0.97637,0.00755,0.48415,0.5111,0.43881,0.26782,1.37365,2.3298,0.02398,0.000808828,0.000808828,0.000808828
80,86.0271,0.82478,1.10672,0.01153,0.46495,0.45804,0.41176,0.26369,1.34094,2.36807,0.023,0.000797826,0.000797826,0.000797826
81,86.9308,0.75615,1.00149,0.01082,0.49357,0.41958,0.39191,0.2606,1.34621,2.32456,0.02308,0.000786824,0.000786824,0.000786824
82,87.8648,0.73123,0.91838,0.00957,0.48436,0.41958,0.40099,0.27172,1.322,2.26715,0.02309,0.000775822,0.000775822,0.000775822
83,88.868,0.77165,0.93069,0.00935,0.45853,0.38748,0.40769,0.28165,1.31014,2.30571,0.02321,0.00076482,0.00076482,0.00076482
84,89.8098,0.72829,0.909,0.0085,0.48761,0.42657,0.41659,0.30559,1.24467,2.34905,0.02166,0.000753817,0.000753817,0.000753817
85,90.8927,0.92185,1.06691,0.01005,0.64162,0.37675,0.39657,0.28035,1.28385,2.35952,0.0222,0.000742815,0.000742815,0.000742815
86,91.8474,0.65468,0.95017,0.0084,0.57037,0.40721,0.41703,0.2977,1.28409,2.31955,0.02284,0.000731813,0.000731813,0.000731813
87,92.7773,0.86929,0.82901,0.00775,0.5742,0.45624,0.4318,0.30384,1.27833,2.28926,0.02303,0.000720811,0.000720811,0.000720811
88,93.7182,0.72125,0.94685,0.00736,0.66339,0.47086,0.46567,0.3134,1.31604,2.20818,0.0234,0.000709809,0.000709809,0.000709809
89,94.6346,0.77159,0.91977,0.01044,0.57131,0.44069,0.49248,0.32238,1.31544,2.1778,0.02324,0.000698806,0.000698806,0.000698806
90,95.5971,0.74737,0.89268,0.0089,0.6697,0.43357,0.47788,0.30696,1.27953,2.29625,0.02212,0.000687804,0.000687804,0.000687804
91,96.5867,0.66772,0.87989,0.00791,0.58597,0.47902,0.44623,0.29158,1.26717,2.31391,0.02167,0.000676802,0.000676802,0.000676802
92,97.5763,0.7389,0.8346,0.00691,0.48205,0.52043,0.44054,0.29341,1.31999,2.38822,0.02222,0.0006658,0.0006658,0.0006658
93,98.4878,0.67005,0.74375,0.00794,0.45937,0.46826,0.3909,0.26428,1.29863,2.46454,0.02225,0.000654798,0.000654798,0.000654798
94,99.5804,0.76909,0.82967,0.00937,0.57081,0.45423,0.3892,0.2442,1.38724,2.51076,0.02448,0.000643795,0.000643795,0.000643795
95,100.5,0.7577,0.88814,0.00818,0.56183,0.47037,0.40226,0.23955,1.41217,2.49857,0.02515,0.000632793,0.000632793,0.000632793
96,101.45,0.60568,0.75224,0.00792,0.64535,0.46966,0.43893,0.2495,1.44723,2.51779,0.02546,0.000621791,0.000621791,0.000621791
97,102.486,0.63548,0.84088,0.00734,0.5879,0.5018,0.41456,0.24364,1.41352,2.55982,0.02394,0.000610789,0.000610789,0.000610789
98,103.482,0.84986,0.95555,0.01584,0.56484,0.51748,0.36813,0.20991,1.44667,2.57615,0.02447,0.000599787,0.000599787,0.000599787
99,104.395,0.65829,0.80614,0.00874,0.55841,0.42657,0.38086,0.21732,1.41234,2.62523,0.02381,0.000588784,0.000588784,0.000588784
100,105.375,0.71041,0.80455,0.00899,0.54918,0.42657,0.35033,0.19848,1.33908,2.78952,0.02145,0.000577782,0.000577782,0.000577782
101,106.293,0.70108,0.90605,0.00965,0.56676,0.40967,0.36793,0.21456,1.3312,2.82265,0.02196,0.00056678,0.00056678,0.00056678
102,107.376,0.71568,0.84189,0.00877,0.53843,0.324,0.36148,0.22878,1.23578,2.95089,0.01981,0.000555778,0.000555778,0.000555778
103,108.299,0.6773,0.74667,0.0069,0.46526,0.33566,0.35771,0.22816,1.22268,2.9495,0.01961,0.000544776,0.000544776,0.000544776
104,109.243,0.61804,0.73316,0.00766,0.38708,0.38377,0.31551,0.19867,1.37582,2.91629,0.02428,0.000533773,0.000533773,0.000533773
105,110.182,0.61721,0.70983,0.00665,0.36099,0.32203,0.30174,0.19705,1.38337,2.95809,0.02432,0.000522771,0.000522771,0.000522771
106,111.232,0.62706,0.85313,0.00821,0.46293,0.29021,0.28821,0.1769,1.42091,2.94007,0.02579,0.000511769,0.000511769,0.000511769
107,112.213,0.68402,0.80536,0.00703,0.53579,0.33566,0.31553,0.18046,1.40869,2.93326,0.02515,0.000500767,0.000500767,0.000500767
108,113.289,0.59183,0.72831,0.00842,0.47873,0.29021,0.29137,0.17577,1.40688,2.89011,0.02268,0.000489765,0.000489765,0.000489765
109,114.307,0.68824,0.75767,0.00764,0.48292,0.29021,0.28545,0.1721,1.38884,2.9112,0.02242,0.000478762,0.000478762,0.000478762
110,115.39,0.71965,0.75643,0.0091,0.48646,0.32867,0.27903,0.16746,1.433,2.75356,0.02401,0.00046776,0.00046776,0.00046776
111,116.338,0.66094,0.80207,0.00738,0.52088,0.28322,0.25559,0.14909,1.42037,2.75716,0.02357,0.000456758,0.000456758,0.000456758
112,117.505,0.6746,0.72641,0.00795,0.56191,0.28322,0.26934,0.1532,1.42772,2.79672,0.02396,0.000445756,0.000445756,0.000445756
113,118.568,0.71431,0.72345,0.00742,0.68685,0.28322,0.27501,0.1575,1.42341,2.83476,0.02428,0.000434754,0.000434754,0.000434754
114,119.584,0.6242,0.71726,0.00739,0.66739,0.24347,0.27333,0.15361,1.40743,2.97036,0.02371,0.000423751,0.000423751,0.000423751
115,120.533,0.63304,0.64382,0.0062,0.53985,0.28163,0.26683,0.15109,1.42159,2.94312,0.02424,0.000412749,0.000412749,0.000412749
116,121.491,0.65847,0.7448,0.00874,0.49333,0.28322,0.29679,0.17377,1.41913,2.88054,0.02434,0.000401747,0.000401747,0.000401747
117,122.458,0.61312,0.68109,0.00699,0.5504,0.28322,0.30059,0.18189,1.41882,2.86905,0.02424,0.000390745,0.000390745,0.000390745
118,123.464,0.526,0.68338,0.00654,0.64083,0.32562,0.33369,0.19057,1.39074,2.87409,0.02337,0.000379743,0.000379743,0.000379743
119,124.68,0.68154,0.80007,0.00894,0.57056,0.34535,0.32595,0.17986,1.27196,3.02669,0.02049,0.00036874,0.00036874,0.00036874
120,125.645,0.63716,0.69736,0.00832,0.54032,0.35732,0.33006,0.18726,1.36095,2.88202,0.02327,0.000357738,0.000357738,0.000357738
121,126.606,0.58443,0.61275,0.0066,0.63611,0.32867,0.30635,0.1852,1.27908,2.93678,0.02124,0.000346736,0.000346736,0.000346736
122,127.621,0.56013,0.62772,0.00599,0.53427,0.32867,0.31461,0.19051,1.33399,2.83699,0.02253,0.000335734,0.000335734,0.000335734
123,128.544,0.62457,0.6061,0.00749,0.62593,0.3181,0.34222,0.19468,1.33571,2.81903,0.02265,0.000324732,0.000324732,0.000324732
124,129.547,0.57627,0.65944,0.00676,0.78569,0.28802,0.35891,0.19591,1.39515,2.74205,0.02415,0.000313729,0.000313729,0.000313729
125,130.52,0.6018,0.7569,0.00662,0.79636,0.28586,0.37091,0.20252,1.39474,2.73251,0.02397,0.000302727,0.000302727,0.000302727
126,131.473,0.58643,0.6534,0.0069,0.81348,0.28693,0.38039,0.20923,1.38127,2.72202,0.02366,0.000291725,0.000291725,0.000291725
127,132.44,0.59778,0.63806,0.0064,0.81143,0.28641,0.38257,0.21112,1.36914,2.72884,0.02334,0.000280723,0.000280723,0.000280723
128,133.564,0.59766,0.69814,0.00663,0.55177,0.32122,0.36253,0.2056,1.34302,2.74141,0.02266,0.000269721,0.000269721,0.000269721
129,134.488,0.57708,0.65484,0.00786,0.55105,0.32236,0.34858,0.19879,1.33551,2.77546,0.02265,0.000258718,0.000258718,0.000258718
130,135.446,0.63293,0.6819,0.00667,0.53696,0.32055,0.34947,0.1971,1.36086,2.7385,0.02324,0.000247716,0.000247716,0.000247716
131,136.414,0.55878,0.67108,0.00579,0.52704,0.31687,0.36946,0.21721,1.36003,2.7413,0.02328,0.000236714,0.000236714,0.000236714
132,137.368,0.507,0.59502,0.00529,0.41004,0.32867,0.35589,0.20639,1.19392,3.00992,0.02033,0.000225712,0.000225712,0.000225712
133,138.289,0.61775,0.61323,0.00683,0.41205,0.32867,0.3556,0.20658,1.20773,3.0144,0.02059,0.00021471,0.00021471,0.00021471
134,139.331,0.60546,0.68295,0.00634,0.7159,0.25175,0.35284,0.21101,1.26122,2.96603,0.02153,0.000203707,0.000203707,0.000203707
135,140.238,0.66281,0.66009,0.00757,0.71364,0.25175,0.34678,0.20376,1.22362,3.05292,0.02108,0.000192705,0.000192705,0.000192705
136,141.211,0.68751,0.68406,0.00595,0.38487,0.31188,0.34824,0.20251,1.20095,3.08352,0.02084,0.000181703,0.000181703,0.000181703
137,142.291,0.61762,0.6874,0.00767,0.38528,0.31628,0.34864,0.20107,1.26515,3.02211,0.02182,0.000170701,0.000170701,0.000170701
138,143.299,0.48401,0.60376,0.00506,0.38421,0.31046,0.35189,0.19838,1.20024,3.10586,0.02096,0.000159699,0.000159699,0.000159699
139,144.34,0.50337,0.59946,0.00643,0.36318,0.2971,0.33554,0.19138,1.20836,3.09557,0.02123,0.000148696,0.000148696,0.000148696
140,145.376,0.44597,0.52586,0.00488,0.40092,0.33766,0.34054,0.19213,1.27831,2.99788,0.02213,0.000137694,0.000137694,0.000137694
141,147.373,0.47648,0.64563,0.00916,0.42903,0.37798,0.36804,0.20949,1.31868,2.88193,0.02241,0.000126692,0.000126692,0.000126692
142,148.318,0.42469,0.62746,0.00569,0.71017,0.28782,0.38838,0.21671,1.34268,2.84265,0.02321,0.00011569,0.00011569,0.00011569
143,149.232,0.38652,0.59176,0.00557,0.47041,0.36555,0.39002,0.219,1.31978,2.87464,0.02273,0.000104688,0.000104688,0.000104688
144,150.165,0.47845,0.66993,0.00688,0.54507,0.34474,0.4123,0.21515,1.32383,2.83739,0.02279,9.36854e-05,9.36854e-05,9.36854e-05
145,151.331,0.40735,0.70498,0.00534,0.51492,0.33831,0.41184,0.21557,1.40478,2.75055,0.02546,8.26832e-05,8.26832e-05,8.26832e-05
146,152.276,0.44162,0.59312,0.0058,0.49497,0.40329,0.4166,0.22336,1.39245,2.73821,0.0255,7.1681e-05,7.1681e-05,7.1681e-05
147,153.182,0.3744,0.56923,0.00541,0.47739,0.38112,0.41634,0.21716,1.39254,2.72604,0.02563,6.06788e-05,6.06788e-05,6.06788e-05
148,154.117,0.45945,0.59747,0.00552,0.48161,0.38112,0.41854,0.21324,1.40252,2.69491,0.02578,4.96766e-05,4.96766e-05,4.96766e-05
149,155.054,0.42742,0.60361,0.00728,0.7408,0.33155,0.4332,0.21975,1.41147,2.68369,0.02592,3.86744e-05,3.86744e-05,3.86744e-05
150,155.99,0.39831,0.64205,0.0073,0.63274,0.33566,0.43016,0.2244,1.42124,2.67256,0.02647,2.76722e-05,2.76722e-05,2.76722e-05
